meal_id,meal_name,cuisine,meal_type,diet_type,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,is_healthy,image_url,calories_cat,protein_g_cat,carbs_g_cat,fat_g_cat,fiber_g_cat,sugar_g_cat,sodium_mg_cat,cholesterol_mg_cat
543,Probably Rice,Chinese,Dinner,Paleo,883,19.4,48.9,6.4,25.4,27.0,2359,243,363,Raw,7,34,2.0,0,https://example.com/images/meal_543.jpg,high,low,low,low,high,medium,high,high
544,Price Rice,Mexican,Breakfast,Keto,1115,45.0,15.2,37.8,14.8,42.5,1863,199,156,Steamed,59,89,4.7,0,https://example.com/images/meal_544.jpg,high,medium,low,medium,medium,high,high,medium
545,Head Stew,Mexican,Breakfast,Low-Carb,374,18.1,6.7,4.0,15.0,42.3,572,13,156,Steamed,11,65,4.0,0,https://example.com/images/meal_545.jpg,low,low,low,low,medium,high,low,low
546,Participant Soup,Indian,Breakfast,Vegan,565,53.2,30.8,15.1,27.4,4.5,2452,160,273,Steamed,43,57,3.9,1,https://example.com/images/meal_546.jpg,medium,medium,low,low,high,low,high,medium
547,Sit Pasta,American,Breakfast,Vegan,1025,58.7,50.4,37.9,20.1,24.0,1020,2,353,Grilled,22,37,3.8,0,https://example.com/images/meal_547.jpg,high,high,low,medium,medium,medium,medium,low
548,Near Sandwich,Chinese,Breakfast,Keto,346,55.7,57.6,9.3,18.4,2.3,1581,212,236,Roasted,24,64,2.6,1,https://example.com/images/meal_548.jpg,low,medium,medium,low,medium,low,medium,high
549,Article Curry,Mediterranean,Lunch,Low-Carb,846,33.9,145.5,40.4,20.4,34.1,502,237,312,Roasted,10,46,1.9,0,https://example.com/images/meal_549.jpg,high,medium,high,medium,medium,high,low,high
550,Report Pasta,Mediterranean,Breakfast,Balanced,333,37.6,25.4,42.7,12.7,18.2,113,52,205,Baked,12,15,3.8,0,https://example.com/images/meal_550.jpg,low,medium,low,high,medium,medium,low,low
551,Indeed Rice,Thai,Dinner,Paleo,808,29.1,78.7,58.9,19.2,38.4,288,63,388,Raw,42,76,4.6,0,https://example.com/images/meal_551.jpg,medium,low,medium,high,medium,high,low,low
552,Door Sandwich,Mexican,Snack,Vegan,300,32.7,120.8,27.9,23.7,41.8,793,259,495,Grilled,28,98,1.2,0,https://example.com/images/meal_552.jpg,low,medium,high,medium,high,high,low,high
553,Guess Stew,Thai,Snack,Keto,1132,72.1,136.6,44.2,3.8,23.4,406,166,129,Roasted,11,104,4.3,0,https://example.com/images/meal_553.jpg,high,high,high,high,low,medium,low,medium
554,Small Curry,Mexican,Lunch,Keto,956,53.9,24.7,54.3,3.9,32.6,1472,106,262,Fried,28,57,4.4,0,https://example.com/images/meal_554.jpg,high,medium,low,high,low,medium,medium,medium
555,While Soup,American,Snack,Vegetarian,733,55.9,31.3,15.9,6.1,46.1,1230,17,338,Grilled,32,8,2.6,0,https://example.com/images/meal_555.jpg,medium,high,low,low,low,high,medium,low
556,Pm Stew,Mediterranean,Snack,Balanced,152,44.3,9.2,46.3,1.9,40.2,790,91,487,Raw,49,61,2.9,0,https://example.com/images/meal_556.jpg,low,medium,low,high,low,high,low,low
557,Run Curry,Japanese,Dinner,Paleo,449,15.9,27.7,25.4,11.3,41.5,1834,166,339,Boiled,39,23,3.5,0,https://example.com/images/meal_557.jpg,low,low,low,medium,medium,high,high,medium
558,Girl Soup,Mediterranean,Lunch,Low-Carb,1127,34.1,61.6,42.8,22.6,6.9,1327,92,233,Fried,26,24,4.6,0,https://example.com/images/meal_558.jpg,high,medium,medium,high,high,low,medium,low
559,Base Rice,Chinese,Lunch,Vegetarian,356,18.8,48.2,49.3,27.6,16.0,1306,52,126,Roasted,29,36,1.1,0,https://example.com/images/meal_559.jpg,low,low,low,high,high,low,medium,low
560,Result Salad,Japanese,Lunch,Balanced,1116,8.4,38.4,57.0,22.9,16.6,1701,214,234,Roasted,35,11,1.0,0,https://example.com/images/meal_560.jpg,high,low,low,high,high,medium,high,high
561,Firm Rice,Indian,Breakfast,Vegetarian,215,55.6,58.4,56.6,9.0,22.4,1669,231,291,Steamed,27,43,2.1,0,https://example.com/images/meal_561.jpg,low,medium,medium,high,low,medium,medium,high
562,Reflect Pasta,Italian,Lunch,Paleo,129,11.8,117.7,55.9,26.3,30.7,882,287,438,Baked,24,59,2.0,0,https://example.com/images/meal_562.jpg,low,low,high,high,high,medium,medium,high
563,Sure Sandwich,Thai,Breakfast,Paleo,120,24.5,74.4,10.6,2.6,7.4,1436,299,352,Steamed,57,26,4.5,1,https://example.com/images/meal_563.jpg,low,low,medium,low,low,low,medium,high
564,High Soup,Mexican,Dinner,Low-Carb,595,67.1,83.9,11.6,3.8,48.0,1938,166,310,Boiled,46,87,4.2,0,https://example.com/images/meal_564.jpg,medium,high,medium,low,low,high,high,medium
565,Strong Sandwich,Chinese,Snack,Balanced,450,24.7,77.2,53.2,0.5,28.6,1315,292,185,Grilled,48,106,2.0,0,https://example.com/images/meal_565.jpg,low,low,medium,high,low,medium,medium,high
566,Care Salad,Chinese,Breakfast,Keto,623,78.8,30.2,43.7,14.4,41.8,1707,18,140,Raw,51,109,3.7,0,https://example.com/images/meal_566.jpg,medium,high,low,high,medium,high,high,low
567,Game Stew,Indian,Breakfast,Vegetarian,1175,60.2,31.3,22.0,25.7,26.3,2065,142,377,Steamed,56,78,1.7,0,https://example.com/images/meal_567.jpg,high,high,low,medium,high,medium,high,medium
568,Cultural Rice,Chinese,Snack,Paleo,517,77.7,55.9,47.6,26.0,19.8,2010,248,313,Fried,60,88,4.4,0,https://example.com/images/meal_568.jpg,medium,high,medium,high,high,medium,high,high
569,Piece Rice,American,Snack,Keto,541,23.6,96.5,47.4,7.2,12.8,1304,4,409,Baked,36,19,2.7,0,https://example.com/images/meal_569.jpg,medium,low,medium,high,low,low,medium,low
570,Tell Rice,Chinese,Snack,Paleo,282,31.5,99.7,7.4,11.5,2.8,2381,87,239,Fried,53,95,2.1,1,https://example.com/images/meal_570.jpg,low,medium,medium,low,medium,low,high,low
571,Former Pasta,Italian,Lunch,Balanced,307,76.0,118.7,34.7,19.1,5.8,1448,16,248,Roasted,39,43,3.7,0,https://example.com/images/meal_571.jpg,low,high,high,medium,medium,low,medium,low
572,Read Pasta,Mexican,Snack,Vegan,227,7.0,105.4,7.8,25.3,35.0,1182,227,254,Fried,40,109,2.3,0,https://example.com/images/meal_572.jpg,low,low,high,low,high,high,medium,high
573,Enjoy Soup,Indian,Dinner,Keto,390,10.5,129.9,44.7,22.0,23.2,1937,58,348,Roasted,15,8,1.2,0,https://example.com/images/meal_573.jpg,low,low,high,high,high,medium,high,low
574,Today Wrap,American,Breakfast,Paleo,918,56.5,119.9,28.8,5.1,9.0,1377,226,422,Grilled,56,23,4.4,0,https://example.com/images/meal_574.jpg,high,high,high,medium,low,low,medium,high
575,Fight Wrap,Mexican,Breakfast,Balanced,313,63.8,128.8,34.8,8.2,24.3,2020,250,233,Grilled,7,51,3.0,0,https://example.com/images/meal_575.jpg,low,high,high,medium,low,medium,high,high
576,Book Wrap,Thai,Breakfast,Keto,353,59.2,92.8,30.2,8.3,31.7,456,167,182,Steamed,48,62,3.4,0,https://example.com/images/meal_576.jpg,low,high,medium,medium,low,medium,low,medium
577,Group Salad,Indian,Breakfast,Vegetarian,863,22.3,72.4,56.5,4.6,8.3,2164,300,196,Steamed,48,16,4.5,0,https://example.com/images/meal_577.jpg,high,low,medium,high,low,low,high,high
578,Artist Sandwich,Mexican,Lunch,Low-Carb,239,74.3,103.4,52.6,25.1,44.4,114,100,141,Boiled,57,24,2.0,0,https://example.com/images/meal_578.jpg,low,high,high,high,high,high,low,low
579,Everyone Salad,Italian,Snack,Vegan,759,46.4,52.6,0.9,11.9,34.2,1594,18,247,Grilled,30,57,4.1,0,https://example.com/images/meal_579.jpg,medium,medium,medium,low,medium,high,medium,low
580,Without Pasta,Thai,Breakfast,Vegetarian,885,8.5,122.0,58.5,10.9,46.8,1500,286,268,Baked,12,59,2.5,0,https://example.com/images/meal_580.jpg,high,low,high,high,medium,high,medium,high
581,Society Pasta,American,Breakfast,Vegetarian,646,17.6,67.3,23.4,5.1,20.1,716,188,222,Steamed,40,84,2.0,0,https://example.com/images/meal_581.jpg,medium,low,medium,medium,low,medium,low,medium
582,Control Salad,Chinese,Dinner,Balanced,312,74.5,16.3,24.7,0.8,23.8,1921,119,100,Fried,34,46,3.1,0,https://example.com/images/meal_582.jpg,low,high,low,medium,low,medium,high,medium
583,Billion Salad,Indian,Breakfast,Balanced,255,23.9,80.4,6.6,25.5,27.7,406,275,367,Baked,39,39,4.9,0,https://example.com/images/meal_583.jpg,low,low,medium,low,high,medium,low,high
584,Movie Stew,Thai,Dinner,Keto,340,75.0,16.5,40.5,11.6,25.8,793,137,263,Baked,42,111,2.1,0,https://example.com/images/meal_584.jpg,low,high,low,high,medium,medium,low,medium
585,Example Pasta,American,Breakfast,Keto,420,19.0,41.6,13.0,23.8,1.9,257,51,200,Raw,12,28,1.3,1,https://example.com/images/meal_585.jpg,low,low,low,low,high,low,low,low
586,Four Soup,Japanese,Lunch,Vegan,188,35.8,64.4,55.0,16.3,35.7,1294,90,103,Roasted,59,65,2.6,0,https://example.com/images/meal_586.jpg,low,medium,medium,high,medium,high,medium,low
587,Truth Salad,Indian,Lunch,Balanced,882,67.5,75.9,2.0,21.4,23.7,1430,250,398,Baked,56,58,3.2,0,https://example.com/images/meal_587.jpg,high,high,medium,low,high,medium,medium,high
588,Continue Sandwich,Japanese,Breakfast,Keto,213,14.3,54.2,8.0,10.0,28.3,704,33,326,Roasted,54,60,2.8,0,https://example.com/images/meal_588.jpg,low,low,medium,low,low,medium,low,low
589,Conference Pasta,Japanese,Lunch,Paleo,486,18.9,113.5,28.5,17.9,45.2,961,126,135,Baked,58,30,1.4,0,https://example.com/images/meal_589.jpg,medium,low,high,medium,medium,high,medium,medium
590,Gas Stew,Japanese,Snack,Low-Carb,621,48.8,62.8,43.7,8.5,40.3,2364,152,284,Roasted,42,27,4.6,0,https://example.com/images/meal_590.jpg,medium,medium,medium,high,low,high,high,medium
591,Really Stew,Mexican,Breakfast,Keto,252,42.9,82.3,48.1,20.7,36.5,1877,53,281,Fried,52,16,2.9,0,https://example.com/images/meal_591.jpg,low,medium,medium,high,high,high,high,low
592,International Rice,American,Breakfast,Vegetarian,937,34.5,95.8,32.9,8.2,19.5,1624,94,258,Baked,60,52,4.8,0,https://example.com/images/meal_592.jpg,high,medium,medium,medium,low,medium,medium,low
593,Determine Salad,American,Breakfast,Low-Carb,1100,76.3,57.9,52.6,28.0,28.2,1414,164,160,Roasted,11,99,2.5,0,https://example.com/images/meal_593.jpg,high,high,medium,high,high,medium,medium,medium
594,Mr Curry,Thai,Snack,Vegan,704,8.5,89.0,45.1,5.0,21.0,601,281,442,Boiled,55,118,2.8,0,https://example.com/images/meal_594.jpg,medium,low,medium,high,low,medium,low,high
595,Rule Wrap,American,Lunch,Low-Carb,890,61.9,28.5,57.5,9.1,20.7,920,51,287,Boiled,58,38,1.6,0,https://example.com/images/meal_595.jpg,high,high,low,high,low,medium,medium,low
596,Should Curry,Chinese,Dinner,Vegan,368,7.7,134.2,48.4,7.3,10.4,1044,125,428,Baked,36,29,1.1,0,https://example.com/images/meal_596.jpg,low,low,high,high,low,low,medium,medium
597,Seven Sandwich,Mediterranean,Lunch,Low-Carb,384,51.4,81.4,1.6,25.3,1.4,2227,219,300,Boiled,32,83,1.8,1,https://example.com/images/meal_597.jpg,low,medium,medium,low,high,low,high,high
598,Section Sandwich,Italian,Lunch,Balanced,379,51.4,133.0,1.1,12.4,3.6,364,153,196,Raw,58,90,1.3,1,https://example.com/images/meal_598.jpg,low,medium,high,low,medium,low,low,medium
599,Scientist Stew,American,Snack,Paleo,486,20.8,64.2,34.2,6.4,45.9,1444,178,388,Raw,21,94,3.7,0,https://example.com/images/meal_599.jpg,medium,low,medium,medium,low,high,medium,medium
600,Force Salad,Chinese,Dinner,Low-Carb,144,14.0,141.8,3.7,24.5,33.7,684,110,304,Steamed,39,10,5.0,0,https://example.com/images/meal_600.jpg,low,low,high,low,high,high,low,medium
601,Role Wrap,Mediterranean,Dinner,Balanced,994,7.1,26.2,13.5,12.6,33.5,489,100,459,Boiled,44,52,1.5,0,https://example.com/images/meal_601.jpg,high,low,low,low,medium,high,low,low
602,Defense Rice,Thai,Snack,Keto,293,6.4,108.2,30.9,14.1,0.6,1824,79,369,Fried,11,70,4.2,0,https://example.com/images/meal_602.jpg,low,low,high,medium,medium,low,high,low
603,Three Salad,American,Breakfast,Balanced,386,34.0,75.3,51.7,13.9,40.0,996,160,224,Grilled,60,79,4.0,0,https://example.com/images/meal_603.jpg,low,medium,medium,high,medium,high,medium,medium
604,Night Wrap,Italian,Lunch,Vegan,138,21.2,44.8,22.3,20.6,9.7,2271,102,344,Fried,45,113,1.5,1,https://example.com/images/meal_604.jpg,low,low,low,medium,high,low,high,low
605,Red Curry,Chinese,Snack,Low-Carb,155,14.7,146.7,42.8,10.8,29.3,772,29,161,Steamed,44,62,1.6,0,https://example.com/images/meal_605.jpg,low,low,high,high,medium,medium,low,low
606,Without Curry,Japanese,Lunch,Keto,872,44.8,104.1,52.5,10.2,25.0,1044,69,237,Steamed,52,30,1.5,0,https://example.com/images/meal_606.jpg,high,medium,high,high,low,medium,medium,low
607,Country Soup,Thai,Lunch,Paleo,484,62.9,147.6,27.2,28.4,10.0,447,287,169,Fried,56,118,4.4,0,https://example.com/images/meal_607.jpg,medium,high,high,medium,high,low,low,high
608,Along Pasta,Mediterranean,Lunch,Vegan,110,70.7,125.5,54.1,14.0,15.9,203,145,131,Boiled,58,110,3.2,0,https://example.com/images/meal_608.jpg,low,high,high,high,medium,low,low,medium
609,Late Wrap,American,Lunch,Paleo,1037,11.4,148.5,50.9,16.0,35.9,1463,162,318,Steamed,5,45,3.0,0,https://example.com/images/meal_609.jpg,high,low,high,high,medium,high,medium,medium
610,North Rice,Mexican,Breakfast,Paleo,606,16.4,99.7,39.3,18.8,3.2,1053,284,395,Boiled,51,17,3.6,0,https://example.com/images/meal_610.jpg,medium,low,medium,medium,medium,low,medium,high
611,Drug Salad,American,Breakfast,Balanced,696,23.8,105.9,58.4,16.0,47.5,723,7,172,Raw,43,19,4.6,0,https://example.com/images/meal_611.jpg,medium,low,high,high,medium,high,low,low
612,Good Wrap,Thai,Breakfast,Vegan,556,60.1,127.0,29.6,0.7,12.2,1235,224,468,Baked,6,45,3.9,0,https://example.com/images/meal_612.jpg,medium,high,high,medium,low,low,medium,high
613,Investment Soup,Indian,Lunch,Vegetarian,454,25.0,60.7,49.8,15.7,2.2,104,204,142,Grilled,10,44,4.8,0,https://example.com/images/meal_613.jpg,low,low,medium,high,medium,low,low,high
614,Left Curry,Italian,Breakfast,Keto,159,17.9,129.4,49.0,14.0,17.6,739,239,462,Raw,18,16,1.2,0,https://example.com/images/meal_614.jpg,low,low,high,high,medium,medium,low,high
615,Chair Sandwich,Thai,Breakfast,Vegan,1117,44.5,93.3,42.5,5.8,22.5,384,110,377,Baked,42,87,3.1,0,https://example.com/images/meal_615.jpg,high,medium,medium,high,low,medium,low,medium
616,Decision Rice,Mediterranean,Dinner,Paleo,533,11.9,24.9,30.5,12.7,11.2,1034,130,296,Baked,11,79,1.8,0,https://example.com/images/meal_616.jpg,medium,low,low,medium,medium,low,medium,medium
617,Debate Pasta,Indian,Lunch,Paleo,770,9.3,44.2,12.9,27.7,18.0,666,116,349,Boiled,43,112,2.7,0,https://example.com/images/meal_617.jpg,medium,low,low,low,high,medium,low,medium
618,Town Wrap,Italian,Lunch,Vegan,226,77.2,69.6,18.9,6.2,16.6,422,44,497,Steamed,44,116,3.8,1,https://example.com/images/meal_618.jpg,low,high,medium,low,low,medium,low,low
619,Avoid Pasta,Indian,Snack,Low-Carb,203,18.6,63.2,24.0,20.3,3.5,483,250,337,Baked,37,92,3.1,1,https://example.com/images/meal_619.jpg,low,low,medium,medium,medium,low,low,high
620,South Wrap,Mediterranean,Lunch,Paleo,161,29.4,72.1,48.1,20.7,12.4,833,148,270,Roasted,48,111,2.3,0,https://example.com/images/meal_620.jpg,low,low,medium,high,high,low,low,medium
621,Just Curry,Thai,Snack,Vegetarian,894,71.8,7.8,20.8,26.0,26.3,2235,138,123,Baked,56,94,1.8,0,https://example.com/images/meal_621.jpg,high,high,low,medium,high,medium,high,medium
622,Wide Pasta,Indian,Breakfast,Paleo,842,67.8,144.4,51.0,26.6,25.8,1684,100,450,Boiled,49,29,4.9,0,https://example.com/images/meal_622.jpg,high,high,high,high,high,medium,high,low
623,Explain Sandwich,Japanese,Lunch,Balanced,137,32.6,143.3,50.8,4.6,45.3,626,82,216,Roasted,28,5,3.1,0,https://example.com/images/meal_623.jpg,low,medium,high,high,low,high,low,low
624,Have Curry,Thai,Breakfast,Vegetarian,633,5.2,149.4,30.4,25.5,39.7,1377,124,428,Grilled,14,46,1.5,0,https://example.com/images/meal_624.jpg,medium,low,high,medium,high,high,medium,medium
625,Executive Pasta,Indian,Dinner,Balanced,768,73.3,111.5,24.6,29.7,40.9,2411,259,108,Steamed,10,102,3.3,0,https://example.com/images/meal_625.jpg,medium,high,high,medium,high,high,high,high
626,Sit Wrap,Japanese,Breakfast,Vegan,1200,78.8,58.4,33.8,17.9,8.8,880,237,107,Steamed,22,107,2.5,0,https://example.com/images/meal_626.jpg,high,high,medium,medium,medium,low,medium,high
627,Somebody Rice,Italian,Breakfast,Low-Carb,806,56.4,74.4,5.0,8.7,17.6,570,157,125,Baked,38,97,2.4,0,https://example.com/images/meal_627.jpg,medium,high,medium,low,low,medium,low,medium
628,Believe Wrap,Indian,Breakfast,Balanced,150,42.1,65.1,0.5,10.9,15.9,89,232,417,Boiled,34,42,3.3,1,https://example.com/images/meal_628.jpg,low,medium,medium,low,medium,low,low,high
629,Ever Soup,Indian,Snack,Balanced,480,13.2,123.4,41.9,19.0,7.4,1434,109,209,Baked,57,72,3.2,0,https://example.com/images/meal_629.jpg,medium,low,high,high,medium,low,medium,medium
630,Congress Salad,Thai,Breakfast,Paleo,721,40.9,123.8,33.3,27.9,38.5,951,277,200,Steamed,46,36,3.6,0,https://example.com/images/meal_630.jpg,medium,medium,high,medium,high,high,medium,high
631,Include Salad,Chinese,Dinner,Vegetarian,1095,38.2,63.3,35.3,0.3,20.9,204,120,457,Steamed,30,37,3.1,0,https://example.com/images/meal_631.jpg,high,medium,medium,medium,low,medium,low,medium
632,Whom Sandwich,Italian,Dinner,Paleo,241,19.3,44.0,25.6,1.2,15.8,2428,232,353,Fried,26,67,2.7,0,https://example.com/images/meal_632.jpg,low,low,low,medium,low,low,high,high
633,Analysis Stew,American,Lunch,Vegetarian,994,67.6,48.9,20.2,17.2,4.8,610,127,297,Roasted,21,94,1.0,0,https://example.com/images/meal_633.jpg,high,high,low,medium,medium,low,low,medium
634,Agreement Curry,Indian,Breakfast,Balanced,393,60.4,131.5,12.5,2.8,47.7,1143,109,157,Baked,23,73,2.2,0,https://example.com/images/meal_634.jpg,low,high,high,low,low,high,medium,medium
635,Stuff Wrap,Indian,Lunch,Vegan,493,60.6,73.1,38.3,11.3,43.9,1382,176,337,Fried,18,20,3.2,0,https://example.com/images/meal_635.jpg,medium,high,medium,medium,medium,high,medium,medium
636,Sell Sandwich,Chinese,Dinner,Vegan,943,44.8,6.3,41.4,19.3,31.6,619,187,323,Boiled,21,107,4.7,0,https://example.com/images/meal_636.jpg,high,medium,low,high,medium,medium,low,medium
637,Guess Soup,Thai,Lunch,Keto,544,31.3,92.6,10.0,26.4,44.5,615,139,198,Boiled,47,10,1.2,0,https://example.com/images/meal_637.jpg,medium,medium,medium,low,high,high,low,medium
638,Measure Pasta,American,Lunch,Balanced,807,30.7,29.6,4.3,9.6,41.4,2323,148,209,Baked,57,9,2.2,0,https://example.com/images/meal_638.jpg,medium,medium,low,low,low,high,high,medium
639,Require Sandwich,Thai,Snack,Balanced,796,24.4,135.9,12.6,7.5,46.5,109,290,428,Fried,32,26,3.3,0,https://example.com/images/meal_639.jpg,medium,low,high,low,low,high,low,high
640,Wrong Salad,Mediterranean,Dinner,Low-Carb,653,44.3,135.7,32.9,28.5,33.1,442,107,178,Grilled,55,9,2.7,0,https://example.com/images/meal_640.jpg,medium,medium,high,medium,high,high,low,medium
641,Across Wrap,Indian,Dinner,Low-Carb,831,54.5,11.8,59.0,12.6,32.3,2045,101,221,Grilled,42,75,3.1,0,https://example.com/images/meal_641.jpg,medium,medium,low,high,medium,medium,high,low
642,Will Curry,Mexican,Lunch,Balanced,1175,44.2,70.8,51.1,29.4,37.5,1626,287,179,Steamed,56,105,1.9,0,https://example.com/images/meal_642.jpg,high,medium,medium,high,high,high,medium,high
643,Draw Salad,Mediterranean,Snack,Balanced,503,57.4,27.6,45.7,17.3,7.7,2284,39,495,Baked,36,104,1.7,0,https://example.com/images/meal_643.jpg,medium,high,low,high,medium,low,high,low
644,Place Stew,Italian,Lunch,Low-Carb,1104,76.0,6.2,47.7,25.4,16.2,122,287,340,Roasted,43,107,3.6,0,https://example.com/images/meal_644.jpg,high,high,low,high,high,medium,low,high
645,Station Curry,Italian,Snack,Low-Carb,672,52.1,17.9,35.3,13.4,17.9,2443,164,127,Grilled,49,20,3.6,0,https://example.com/images/meal_645.jpg,medium,medium,low,medium,medium,medium,high,medium
646,Buy Sandwich,Mediterranean,Lunch,Keto,649,78.9,96.6,3.2,11.2,13.5,1413,75,206,Roasted,50,44,4.2,1,https://example.com/images/meal_646.jpg,medium,high,medium,low,medium,low,medium,low
647,Turn Curry,Thai,Lunch,Vegetarian,921,23.8,95.6,4.5,8.2,25.6,258,274,429,Roasted,34,36,3.1,0,https://example.com/images/meal_647.jpg,high,low,medium,low,low,medium,low,high
648,Maintain Salad,Chinese,Lunch,Vegetarian,1142,20.2,123.9,13.4,0.8,31.4,203,0,267,Roasted,60,61,2.4,0,https://example.com/images/meal_648.jpg,high,low,high,low,low,medium,low,low
649,Management Soup,Thai,Breakfast,Paleo,423,6.2,144.1,12.4,28.7,18.3,2489,264,210,Baked,41,19,1.8,1,https://example.com/images/meal_649.jpg,low,low,high,low,high,medium,high,high
650,Through Stew,Indian,Dinner,Keto,906,21.9,53.6,4.2,23.6,18.8,328,219,117,Fried,31,14,4.4,0,https://example.com/images/meal_650.jpg,high,low,medium,low,high,medium,low,high
651,Arrive Salad,Japanese,Breakfast,Vegetarian,321,57.0,9.9,36.2,24.9,48.8,620,95,210,Baked,25,13,2.4,0,https://example.com/images/meal_651.jpg,low,high,low,medium,high,high,low,low
652,Production Rice,Thai,Dinner,Keto,707,7.9,121.3,57.4,24.6,10.5,1984,175,173,Steamed,20,105,4.6,0,https://example.com/images/meal_652.jpg,medium,low,high,high,high,low,high,medium
653,Form Pasta,Italian,Dinner,Keto,1038,16.0,77.3,4.4,25.3,37.4,271,241,119,Roasted,49,33,2.4,0,https://example.com/images/meal_653.jpg,high,low,medium,low,high,high,low,high
654,Organization Salad,Japanese,Breakfast,Balanced,106,36.7,106.4,38.8,17.5,16.6,926,281,400,Fried,38,73,1.1,0,https://example.com/images/meal_654.jpg,low,medium,high,medium,medium,medium,medium,high
655,Recent Salad,Chinese,Breakfast,Balanced,551,67.7,137.1,28.8,7.4,10.3,1187,49,393,Fried,33,100,2.7,0,https://example.com/images/meal_655.jpg,medium,high,high,medium,low,low,medium,low
656,Understand Wrap,Chinese,Dinner,Paleo,1146,8.8,68.9,58.1,16.9,43.2,1269,186,315,Fried,47,48,1.2,0,https://example.com/images/meal_656.jpg,high,low,medium,high,medium,high,medium,medium
657,Report Rice,Mediterranean,Snack,Low-Carb,1041,59.2,75.3,54.9,26.9,15.8,396,124,155,Boiled,32,8,3.0,0,https://example.com/images/meal_657.jpg,high,high,medium,high,high,low,low,medium
658,Finally Stew,Chinese,Breakfast,Balanced,641,74.9,27.2,14.6,21.4,4.8,1507,68,493,Roasted,10,18,2.5,1,https://example.com/images/meal_658.jpg,medium,high,low,low,high,low,medium,low
659,Detail Curry,American,Snack,Keto,986,41.9,28.2,29.6,18.0,11.7,1439,266,296,Roasted,55,24,4.9,0,https://example.com/images/meal_659.jpg,high,medium,low,medium,medium,low,medium,high
660,Mrs Stew,Japanese,Lunch,Vegetarian,592,74.3,25.6,28.8,29.2,19.7,1721,41,420,Raw,47,66,4.6,0,https://example.com/images/meal_660.jpg,medium,high,low,medium,high,medium,high,low
661,Short Pasta,Mexican,Breakfast,Low-Carb,756,21.0,27.7,43.1,25.3,49.6,746,291,415,Fried,19,26,1.6,0,https://example.com/images/meal_661.jpg,medium,low,low,high,high,high,low,high
662,Employee Rice,Japanese,Breakfast,Paleo,357,55.5,39.1,53.1,8.0,0.7,1117,274,488,Raw,33,19,3.7,0,https://example.com/images/meal_662.jpg,low,medium,low,high,low,low,medium,high
663,Situation Pasta,Chinese,Dinner,Vegan,480,72.6,11.3,33.5,4.8,40.6,180,83,407,Baked,55,79,4.1,0,https://example.com/images/meal_663.jpg,medium,high,low,medium,low,high,low,low
664,Week Rice,Chinese,Snack,Vegan,710,49.5,41.4,39.5,20.0,42.4,604,266,395,Baked,39,15,4.8,0,https://example.com/images/meal_664.jpg,medium,medium,low,medium,medium,high,low,high
665,Song Rice,Chinese,Lunch,Paleo,575,45.2,23.3,45.2,23.1,4.8,1695,293,484,Roasted,25,35,1.8,0,https://example.com/images/meal_665.jpg,medium,medium,low,high,high,low,high,high
666,Plant Wrap,Mediterranean,Snack,Paleo,154,15.9,32.1,4.2,11.4,15.4,1032,232,225,Grilled,14,16,2.0,1,https://example.com/images/meal_666.jpg,low,low,low,low,medium,low,medium,high
667,Develop Pasta,Japanese,Breakfast,Vegetarian,238,23.2,77.3,17.6,0.1,30.1,1447,136,178,Boiled,52,68,1.5,0,https://example.com/images/meal_667.jpg,low,low,medium,low,low,medium,medium,medium
668,Wrong Sandwich,Indian,Breakfast,Keto,692,60.8,74.4,50.1,22.0,29.5,1622,87,422,Fried,25,110,2.3,0,https://example.com/images/meal_668.jpg,medium,high,medium,high,high,medium,medium,low
669,For Rice,Mediterranean,Breakfast,Paleo,347,64.9,26.7,38.2,22.0,0.6,2168,263,197,Fried,60,37,3.8,0,https://example.com/images/meal_669.jpg,low,high,low,medium,high,low,high,high
670,Town Stew,Chinese,Lunch,Low-Carb,1035,68.9,96.4,2.2,9.3,16.4,759,17,357,Grilled,6,32,2.8,0,https://example.com/images/meal_670.jpg,high,high,medium,low,low,medium,low,low
671,Ahead Wrap,American,Lunch,Vegan,404,20.8,128.3,12.1,1.8,10.9,1434,246,151,Raw,39,30,4.6,1,https://example.com/images/meal_671.jpg,low,low,high,low,low,low,medium,high
672,Finally Salad,Mediterranean,Breakfast,Vegan,762,8.4,73.0,26.2,18.3,13.4,713,4,183,Steamed,9,114,3.9,0,https://example.com/images/meal_672.jpg,medium,low,medium,medium,medium,low,low,low
673,Change Wrap,Italian,Lunch,Low-Carb,731,19.8,62.1,20.8,8.0,5.5,1648,252,324,Raw,23,99,3.2,0,https://example.com/images/meal_673.jpg,medium,low,medium,medium,low,low,medium,high
674,Evidence Sandwich,Chinese,Dinner,Vegetarian,778,74.1,106.5,55.9,23.7,33.4,658,142,259,Steamed,22,24,4.4,0,https://example.com/images/meal_674.jpg,medium,high,high,high,high,high,low,medium
675,Wear Rice,American,Snack,Keto,376,51.0,136.0,4.9,4.4,8.1,1118,97,124,Baked,57,79,1.2,1,https://example.com/images/meal_675.jpg,low,medium,high,low,low,low,medium,low
